company_id,industry
3657,['Higher Education']
3658,"['Hospital & Health Care', 'Hospitals and Health Care']"
3667,['IT Services and IT Consulting']
3670,['Financial Services']
3671,['Retail']
3672,"['Information Technology & Services', 'IT Services and IT Consulting']"
3677,['Financial Services']
3678,"['Glass, Ceramics & Concrete', 'Glass, Ceramics and Concrete Manufacturing']"
3681,['Construction']
3684,"['Information Technology & Services', 'IT Services and IT Consulting']"
3690,"['Semiconductors', 'Semiconductor Manufacturing']"
3695,['Financial Services']
3724,"['Consumer Goods', 'Manufacturing']"
3741,"['Management Consulting', 'Business Consulting and Services']"
3743,['Accounting']
3745,"['Automotive', 'Motor Vehicle Manufacturing']"
3748,"['Sporting Goods', 'Sporting Goods Manufacturing']"
3757,['Higher Education']
3758,['Higher Education']
3762,['Financial Services']
3765,"['Marketing & Advertising', 'Advertising Services']"
3768,['Higher Education']
3770,['Higher Education']
3771,['Higher Education']
3776,"['Marketing & Advertising', 'Advertising Services']"
3789,"['Machinery', 'Machinery Manufacturing']"
3796,['Financial Services']
3831,['Financial Services']
3843,"['Appliances, Electrical, and Electronics Manufacturing']"
3845,['Insurance']
3848,"['Information Technology & Services', 'IT Services and IT Consulting']"
3863,"['Business Supplies & Equipment', 'Retail Office Equipment']"
3866,"['Printing', 'Printing Services']"
3881,['Higher Education']
3888,['Hospital & Health Care']
3889,['Higher Education']
3894,['Semiconductors']
3896,['Software Development']
3915,['Motor Vehicle Manufacturing']
3920,['Business Consulting and Services']
3925,['Software Development']
3961,"['Biotechnology', 'Biotechnology Research']"
3980,['E-Learning Providers']
3994,['Financial Services']
3997,['Insurance']
3998,['Farming']
4035,['Higher Education']
4037,['Financial Services']
4057,"['Hospital & Health Care', 'Hospitals and Health Care']"
4059,['Personal Care Product Manufacturing']
4060,['Real Estate']
4062,"['Automotive', 'Motor Vehicle Manufacturing']"
4066,['Utilities']
4075,['Financial Services']
4097,"['Automotive', 'Motor Vehicle Manufacturing']"
4099,['Higher Education']
4100,['Advertising Services']
4101,['Automotive']
4114,['Chemical Manufacturing']
4122,['Retail']
4126,['International Trade & Development']
4128,['Retail']
4156,"['Chemicals', 'Chemical Manufacturing']"
4167,['Financial Services']
4187,['Mining']
4207,['Financial Services']
4220,['Government Administration']
4222,['Outsourcing and Offshoring Consulting']
4224,['Banking']
4255,"['Human Resources', 'Human Resources Services']"
4256,['Aviation & Aerospace']
4257,"['Health, Wellness & Fitness']"
4292,['Higher Education']
4293,['Entertainment']
4296,['Telecommunications']
4297,"['Hospital & Health Care', 'Hospitals and Health Care']"
4298,['Higher Education']
4307,['Financial Services']
4324,['Construction']
4326,"['Leisure, Travel & Tourism']"
4334,['Oil and Gas']
4335,['Construction']
4346,['Public Relations & Communications']
4376,['Software Development']
4399,['Financial Services']
4416,['Financial Services']
4419,['Hospital & Health Care']
4422,['Law Practice']
4433,"['Staffing & Recruiting', 'Staffing and Recruiting']"
4440,['Financial Services']
4446,['Computer Software']
4453,"['Transportation/Trucking/Railroad', 'Truck Transportation']"
4465,['Airlines/Aviation']
4500,['IT Services and IT Consulting']
4505,['Book and Periodical Publishing']
4510,['Food and Beverage Services']
4512,['Higher Education']
4513,['Food and Beverage Services']
4529,"['Hospital & Health Care', 'Hospitals and Health Care']"
4541,['Spectator Sports']
4556,['Higher Education']
4564,"['Hospital & Health Care', 'Hospitals and Health Care']"
4565,['Higher Education']
4591,['Industrial Machinery Manufacturing']
4592,['Industrial Machinery Manufacturing']
4593,['Computer Hardware Manufacturing']
4622,['Machinery']
4647,['Insurance']
4667,['Apparel & Fashion']
4668,['Retail Apparel and Fashion']
4670,"['Apparel & Fashion', 'Retail Apparel and Fashion']"
4674,['Utilities']
4682,['Pharmaceutical Manufacturing']
4701,['Financial Services']
4711,['Religious Institutions']
4713,['Chemical Manufacturing']
4714,['Research Services']
4715,['Wellness and Fitness Services']
4721,"['International Trade & Development', 'International Trade and Development']"
4725,['Hospital & Health Care']
4728,"['Computer Software', 'Software Development']"
4729,['Telecommunications']
4764,['Financial Services']
4768,['Financial Services']
4782,['Law Practice']
4783,['Financial Services']
4787,"['Information Technology & Services', 'IT Services and IT Consulting']"
4791,['Chemical Manufacturing']
4798,['Retail']
4804,"['Machinery', 'Machinery Manufacturing']"
4826,['Financial Services']
4828,['Photography']
4852,"['Appliances, Electrical, and Electronics Manufacturing']"
4857,"['Chemicals', 'Chemical Manufacturing']"
4860,['Banking']
4862,['Law Practice']
4867,['Higher Education']
4881,['Non-profit Organization Management']
4884,['Construction']
4890,"['Hospital & Health Care', 'Hospitals and Health Care']"
4896,['Insurance']
4898,"['Information Technology & Services', 'IT Services and IT Consulting']"
4910,['Logistics & Supply Chain']
4914,['Retail']
4915,['Retail']
4918,['Machinery']
4928,['Consumer Services']
4929,['Software Development']
4931,['Law Practice']
4951,['Information Technology & Services']
4960,['Retail']
4972,"['Information Technology & Services', 'IT Services and IT Consulting']"
4983,['Higher Education']
