company_id,employee_count,follower_count,time_recorded
12601,4227,112880,2023-08-22 06:09:08.000000000
6476,2038,25270,2023-08-22 06:09:08.000000000
468782,8546,135847,2023-08-22 06:09:08.000000000
89830003,2,96,2023-08-22 06:09:09.000000000
1063,99677,6182716,2023-08-22 06:09:09.000000000
6547149,1154,12651,2023-08-22 06:09:09.000000000
46521,1009,8224,2023-08-22 06:09:09.000000000
468782,8546,135847,2023-08-22 06:09:10.000000000
1262,65850,2104220,2023-08-22 06:09:10.000000000
1063,99677,6182716,2023-08-22 06:09:11.000000000
12601,4227,112880,2023-08-22 06:09:11.000000000
107457,727,7206,2023-08-22 06:09:11.000000000
6476,2038,25270,2023-08-22 06:09:11.000000000
73013724,251,28671,2023-08-22 06:09:11.000000000
73013724,251,28671,2023-08-22 06:09:12.000000000
468782,8546,135847,2023-08-22 06:09:12.000000000
1063,99677,6182716,2023-08-22 06:09:12.000000000
24629,181,452226,2023-08-22 06:09:12.000000000
78853109,110,2502,2023-08-22 06:09:13.000000000
468782,8546,135847,2023-08-22 06:09:13.000000000
1063,99677,6182716,2023-08-22 06:09:13.000000000
1063,99677,6182716,2023-08-22 06:09:14.000000000
73013724,251,28671,2023-08-22 06:09:14.000000000
1063,99677,6182716,2023-08-22 06:09:15.000000000
6547149,1154,12651,2023-08-22 06:09:15.000000000
13181,2919,22093,2023-08-22 06:09:15.000000000
1089558,48,14476,2023-08-23 06:32:05.000000000
3894635,40,563,2023-08-23 06:32:06.000000000
18995316,49,1960,2023-08-23 06:32:06.000000000
882349,95,736,2023-08-23 06:32:08.000000000
61469,202,1812,2023-08-23 06:32:08.000000000
21514196,151,5035,2023-08-23 06:32:10.000000000
6910,11000,342625,2023-08-23 06:32:12.000000000
9730586,871,29587,2023-08-23 06:32:12.000000000
61400,531,10409,2023-08-23 06:32:13.000000000
77169664,18,42,2023-08-23 06:32:13.000000000
73828006,3,107,2023-08-23 06:32:15.000000000
68746191,7,31,2023-08-23 06:32:15.000000000
69660814,24,45,2023-08-23 06:32:16.000000000
81922135,5,59,2023-08-23 06:32:16.000000000
131915,148,1670,2023-08-23 06:32:18.000000000
62804,142,1562,2023-08-23 06:32:18.000000000
1889003,53,331,2023-08-23 06:32:19.000000000
3149515,31,7845,2023-08-23 06:32:19.000000000
2937626,36,1918,2023-08-23 06:32:20.000000000
3628379,58,1232,2023-08-23 06:32:20.000000000
18192301,20,113,2023-08-23 06:32:22.000000000
84939936,14,51,2023-08-23 06:32:22.000000000
70803322,3,4,2023-08-23 06:36:40.000000000
44786,135,15365,2023-08-23 06:36:40.000000000
106551,286,4707,2023-08-23 06:36:42.000000000
308409,2354,32082,2023-08-23 06:36:42.000000000
3928505,12,50,2023-08-23 06:36:43.000000000
4376443,1,25,2023-08-23 06:36:43.000000000
36019672,1,95,2023-08-23 06:36:45.000000000
58569536,60,200,2023-08-23 06:36:46.000000000
35696106,12,1064,2023-08-23 06:36:46.000000000
543150,38,2213,2023-08-23 06:36:47.000000000
210234,13,707,2023-08-23 06:36:47.000000000
583005,352,4485,2023-08-23 06:36:49.000000000
69642092,3,1100,2023-08-23 06:36:49.000000000
11034338,3,1574,2023-08-23 06:36:50.000000000
2680550,31,169,2023-08-23 06:36:50.000000000
10937173,42,819,2023-08-23 06:36:52.000000000
82327978,31,280,2023-08-23 06:36:52.000000000
3566984,145,847,2023-08-23 06:36:53.000000000
89737107,6,71,2023-08-23 06:36:53.000000000
2803017,39,896,2023-08-23 06:36:54.000000000
35444763,355,1097,2023-08-23 06:36:54.000000000
84855353,148,857,2023-08-23 06:36:56.000000000
10229031,43,10504,2023-08-23 06:36:56.000000000
2144424,513,24782,2023-08-23 06:36:57.000000000
11768999,27,209,2023-08-23 06:36:57.000000000
1215629,451,184617,2023-08-23 06:36:59.000000000
1981697,77,1753,2023-08-23 06:36:59.000000000
93094245,3,150,2023-08-23 06:37:00.000000000
20397,18745,45329,2023-08-23 06:37:00.000000000
82884837,45,6539,2023-08-23 06:37:01.000000000
72739246,10,230,2023-08-23 06:37:01.000000000
95734747,1,3,2023-08-23 06:37:03.000000000
10279563,74,1086,2023-08-23 06:37:03.000000000
90666319,10,12434,2023-08-23 06:37:04.000000000
436163,333,5839,2023-08-23 06:37:04.000000000
750072,1471,157212,2023-08-23 06:37:06.000000000
278493,80,417,2023-08-23 06:37:07.000000000
1313100,83,69123,2023-08-23 06:37:07.000000000
313823,473,109977,2023-08-23 06:37:08.000000000
440105,64,2189,2023-08-23 06:37:08.000000000
6648075,17,27205,2023-08-23 06:37:10.000000000
1313822,55,4857,2023-08-23 06:37:10.000000000
15083522,177,2416,2023-08-23 06:37:12.000000000
3194825,42,1721,2023-08-23 06:37:12.000000000
68921004,12,10327,2023-08-23 06:37:13.000000000
16318,1686,14445,2023-08-23 06:37:13.000000000
9260752,173,11127,2023-08-23 06:37:15.000000000
2214679,3023,25326,2023-08-23 06:37:15.000000000
35512060,36,22724,2023-08-23 06:37:16.000000000
13391879,96,29796,2023-08-23 06:37:16.000000000
1012693,125,1803,2023-08-23 06:37:17.000000000
18106858,116,11894,2023-08-23 06:37:17.000000000
14467750,305,56930,2023-08-23 06:37:19.000000000
1268739,77,5092,2023-08-23 06:37:19.000000000
28966001,19,18878,2023-08-23 06:37:20.000000000
82559090,14,1527,2023-08-23 06:37:20.000000000
87720672,1,511,2023-08-23 06:37:22.000000000
91098929,6,241,2023-08-23 06:37:22.000000000
47660218,7,268,2023-08-23 18:56:19.000000000
89721371,2,82,2023-08-23 18:56:19.000000000
47238,764,11976,2023-08-23 18:56:19.000000000
1044,273293,5559823,2023-08-23 18:56:19.000000000
1180728,366,6862,2023-08-23 18:56:19.000000000
89768356,11,377,2023-08-23 18:56:19.000000000
164992,111,47802,2023-08-23 18:56:19.000000000
65515408,31,285,2023-08-23 18:56:19.000000000
15363324,50,237,2023-08-23 18:56:19.000000000
88421962,44,362,2023-08-23 18:56:19.000000000
1318870,41,1150,2023-08-23 18:56:19.000000000
96360915,2,41,2023-08-23 18:56:19.000000000
2740813,315,24731,2023-08-23 18:56:19.000000000
80051634,16,1767,2023-08-23 18:56:19.000000000
487710,805,1168,2023-08-23 18:56:19.000000000
2389778,27,4446,2023-08-23 18:56:19.000000000
6967,1257,47800,2023-08-23 18:56:19.000000000
66932,26,2256,2023-08-23 18:56:19.000000000
77757558,13,613,2023-08-23 18:56:19.000000000
10035810,26328,222396,2023-08-23 18:56:19.000000000
10035810,26328,222396,2023-08-23 18:57:40.000000000
45068,3293,49413,2023-08-23 18:57:40.000000000
6648075,17,27218,2023-08-23 18:57:40.000000000
164707,3960,90021,2023-08-23 18:57:40.000000000
28142959,18,2585,2023-08-23 18:57:40.000000000
1712352,25,707,2023-08-23 18:57:40.000000000
81471675,2,359,2023-08-23 18:57:40.000000000
80777602,2,75,2023-08-23 18:57:40.000000000
43041,2637,12116,2023-08-23 18:57:40.000000000
2476170,23,382,2023-08-23 18:57:40.000000000
3769582,15,267,2023-08-23 18:57:40.000000000
2893575,9,770,2023-08-23 18:57:40.000000000
2083295,848,17648,2023-08-23 18:57:40.000000000
82695521,37,8601,2023-08-23 18:57:40.000000000
95019864,6,904,2023-08-23 18:57:40.000000000
613812,1555,133465,2023-08-23 18:57:40.000000000
54133543,49,8678,2023-08-23 18:57:40.000000000
1364228,74,18725,2023-08-23 18:57:40.000000000
35633786,5,36,2023-08-23 18:59:00.000000000
21514196,152,5039,2023-08-23 18:59:00.000000000
43558,99,4605,2023-08-23 18:59:00.000000000
10035810,26328,222396,2023-08-23 18:59:00.000000000
22286034,18,801,2023-08-23 18:59:00.000000000
332139,158,29195,2023-08-23 18:59:00.000000000
79919162,6,2069,2023-08-23 18:59:00.000000000
11056,13096,1711262,2023-08-23 18:59:00.000000000
